product_type;map
Tee;T-Shirt
Accessories;Accessories
Hose;Pants
Hoodie;Hoodie
Shorts;Shorts
Pants;Pants
Accessoires;Accessories
Sweater;Sweater
Zip Hoodie;Zip Jacket (Sweat)
T-Shirts;T-Shirt
Jacke;Jacket
Tees | Men;T-Shirt
Bottoms | Men;Pants
Pullover;Sweater
Hoodies | Men;Hoodie
Footwear;Shoes
Tees | Women;T-Shirt
Cap;Headwear
Jeans | Men;Pants
Hoodies;Hoodie
T-Shirt;T-Shirt
Shirts;Shirt (Bluse Hemd)
Bottoms | Women;Pants
Kette;Jewellery
72--Accessoires;Accessories
Socken;Socks
Track Pants;Pants
Outerwear;Jacket
Hoodies | Women;Hoodie
Shirts | Men;Shirt (Bluse Hemd)
Beanies;Headwear
6PMOZ;
Longsleeve;Longsleeve
Mütze;Headwear
FLOWERPOWER;
Tanktop;Top
Tops | Women;Top
Denim;Pants
Sweater | Men;Sweater
Gift Cards;other
Shorts | Men;Shorts
Headwear | Men;Headwear
Sweaters;Sweater
Jeans;Pants
HOTSUMMER;
Merchandise;other
Jackets | Men;Jacket
Weste;Vest
Acessoires;Accessories
Outdoor Jacke;Jacket
Winterjacke;Jacket
Ring;Jewellery
shorts;Shorts
Überbekleidung;Jacket
Halfzip;Sweater
Swim Shorts;Swimwear
Weekender;Bags
Socks | Unisex;Socks
Knitwear;Knit
Vest | Men;Vest
Badehose;Swimwear
Shirt;Shirt (Bluse Hemd)
Armband;Jewellery
Hemd;Shirt (Bluse Hemd)
Swim Shorts | Men;Swimwear
Shorts | Women;Shorts
Summer Shorts;Shorts
Handyhülle;other
Tank;Top
Tasche;Bags
Cardigan;Knit
Hemd langärmlig;Shirt (Bluse Hemd)
Jeans Jacke;Jacket
Jackets | Women;Jacket
Headwear | Women;Headwear
Shirts | Women;Shirt (Bluse Hemd)
Gürtel;Small Leather
Slipper;Shoes
Bodysuit | Women;Onepiece Body
Tracksuit;Onepiece Body
Hosen;Pants
Cardholder;Small Leather
Longsleeves;Longsleeve
Geschenkgutscheine;other
Jackets;Jacket
Bekleidung & Accessoires;Accessories
Track Jacke;Jacket
Mäntel & Jacken;Jacket
Nackenkissen;other
Crewnecks;Sweater
Ohrring;Jewellery
Earcuff;Jewellery
Track Shorts;Shorts
Gutschein;other
Denim Shorts;Shorts
Shirts & Tops;T-Shirt
Poloshirt;T-Shirt
Handbag;Bags
Sweater | Women;Sweater
Jeans | Women;Pants
chain;Jewellery
