color;map
BLACK;BLACK
OFF WHITE;WHITE
WHITE;WHITE
BABYBLUE;BLUE
WASHED GREY;GREY
FLAT WHITE;WHITE
CREAM;WHITE
WASHED BLACK;BLACK
BROWN;BROWN
GREEN;GREEN
BLACK;BLACK
BLUE;BLUE
HEATHER GREY;GREY
STONE GREY;GREY
BEIGE;WHITE
FOG;GREY
ROYAL BLUE;BLUE
JET BLACK;BLACK
BLACK;BLACK
STONE;GREY
BLACK WASHED;BLACK
MUSHROOM;WHITE
PURPLE;VIOLET
ULTIMATE GREY;GREY
CREAM;WHITE
KHAKI;GREEN
RACING GREEN;GREEN
ECRU;BROWN
LIGHT GREY;GREY
STONE;GREY
SAND BLUE;BLUE
RUBY;RED
LIGHT BLUE;BLUE
COBALT;BLUE
BABY BLUE;BLUE
BURNT RED;RED
FOREST GREEN;GREEN
EMERALD GREEN;GREEN
CHOCOLATE;BROWN
SMOKE;GREY
LAVENDAR;VIOLET
GREY MELANGE;GREY
PINK;RED
DARK GREY;GREY
MOCHA;BROWN
SKY BLUE;BLUE
SHARK GREY;GREY
GREY;GREY
BURGUNDY;RED
SAND;YELLOW
OCEAN BLUE;BLUE
SAFETY ORANGE;ORANGE
MUSTARD;YELLOW
NAVY;BLUE
WASHED BLACK;BLACK
OFFWHITE;WHITE
WASHED WHITE;WHITE
RUBY RED;RED
CAMO;GREEN
GREY MOSS;GREY
WASHED BLUE;BLUE
NEON ORANGE;ORANGE
RED;RED
BUTTERCREAM;YELLOW
MUD;BROWN
OLIVE;GREEN
DEEP PURPLE;VIOLET
TAUPE;BROWN
DARK GREEN;GREEN
POLAR WHITE;WHITE
BLUE CREAM;BLUE
STUDIO BLUE;BLUE
HUNTER GREEN;GREEN
DESERT;YELLOW
VINTAGE GREY;GREY
WARM GREY;GREY
FADED MOSS;GREEN
ALL BLACK;BLACK
CONCRETE WHITE;WHITE
BROWN/VINTAGE WHITE/BLACK;BROWN
BLACK VINTAGE WHITE;BLACK
VINTAGE WHITE;WHITE
WHITE GUM;WHITE
TAUPE WHITE;BROWN
BLACK WHITE;BLACK
MUSTANG;SONSTIGES
WASHED ANTHRA;GREY
JET BLACK;BLACK
DARK NAVY;BLUE
SAND STORM BLUE;BLUE
DARK BLUE;BLUE
DESERT BLUE;BLUE
LIGHT SAND WASH;YELLOW
WASHED BLUE;BLUE
OFF BLACK;BLACK
PURPLE;VIOLET
TURQUOISE;BLUE
DARK TAUPE;BROWN
TAUPE;BROWN
TAUPE CAMO;BROWN
GOLDEN OLIVE;GREEN
BLUE BERRY;BLUE
DARK OAK;BROWN
GREY;GREY
LIGHT CREAM;WHITE
MIDNIGHT BLACK;BLACK
LIGHT GREY;GREY
CRANBERRY;RED
WHITE;WHITE
VANILLA ICE;YELLOW
FADED FOREST;GREEN
SILVER;GREY
GREY MELANGE;GREY
